,personUri,personLabel,birthYear,gender,countries,continents,occupations,fields
1326,http://www.wikidata.org/entity/Q7121198,PW,1992,male,United Kingdom,Europe,rapper,rapper
1327,http://www.wikidata.org/entity/Q79071898,Greekazo,2001,male,Sweden,Europe,"rapper, singer","rapper, singer"
1328,http://www.wikidata.org/entity/Q56292576,Tierra Whack,1995,female,United States,North America,"rapper, songwriter, singer","rapper, songwriter, singer"
1329,http://www.wikidata.org/entity/Q49233458,Park Seo Ham,1993,male,South Korea,Asia,"rapper, singer, entertainer, actor","rapper, singer, entertainer, actor"
1330,http://www.wikidata.org/entity/Q1374560,Nicky Jam,1981,male,United States,North America,"rapper, songwriter, singer, actor","rapper, songwriter, singer, actor"
1331,http://www.wikidata.org/entity/Q266228,Adam Hicks,1992,male,United States,North America,"film actor, voice actor, rapper, songwriter, singer, actor","film actor, voice actor, rapper, songwriter, singer, actor"
1332,http://www.wikidata.org/entity/Q238819,Jay Chou,1979,male,Taiwan,Asia,"director, rapper, songwriter, record producer, singer, composer, actor","director, rapper, songwriter, record producer, singer, composer, actor"
1333,http://www.wikidata.org/entity/Q56347761,Djonga,1994,male,Brazil,South America,"rapper, songwriter, singer, poet","rapper, songwriter, singer, poet"
1334,http://www.wikidata.org/entity/Q127303532,RMC Mike,1994,male,United States,North America,rapper,rapper
1335,http://www.wikidata.org/entity/Q114049557,Philippe Fourmarier-Garfinkels,1971,male,Belgium,Europe,rapper,rapper
1336,http://www.wikidata.org/entity/Q38875,Yasiin Bey,1973,male,United States,North America,"actor, activist, film actor, rapper, songwriter, record producer, singer","actor, activist, film actor, rapper, songwriter, record producer, singer"
1337,http://www.wikidata.org/entity/Q1269271,Funkmaster Flex,1968,male,United States,North America,"radio personality, rapper, disc jockey","radio personality, rapper, disc jockey"
1338,http://www.wikidata.org/entity/Q7846439,T Roy,1967,male,United States,North America,rapper,rapper
1339,http://www.wikidata.org/entity/Q20756201,Julien Sewering,1988,male,Germany,Europe,"YouTuber, blogger, rapper, singer","YouTuber, blogger, rapper, singer"
1340,http://www.wikidata.org/entity/Q21295480,Metrickz,1990,male,Germany,Europe,rapper,rapper
1341,http://www.wikidata.org/entity/Q131404829,Nino Freestyle,1998,male,Dominican Republic,North America,"rapper, songwriter, singer","rapper, songwriter, singer"
1342,http://www.wikidata.org/entity/Q123555939,Lyhts,2006,male,United States,North America,rapper,rapper
1343,http://www.wikidata.org/entity/Q65029930,Latto,1998,female,United States,North America,"rapper, singer","rapper, singer"
1344,http://www.wikidata.org/entity/Q902879,Ranveer Singh,1985,male,India,Asia,"film actor, rapper","film actor, rapper"
